file,category,poc_name,cve_id,protocol,grade,attack_input,execution_path,observable_result,safety_gate,is_recon,missing
pocs/advanced/01_OTA_MITM_Interception.py,advanced,OTA MITM Interception,CWE-295,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/02_RF_Keyfob_Replay.py,advanced,RF Keyfob Replay,CVE-2022-27254,rf,EXP_READY,True,True,True,True,False,
pocs/advanced/03_GPS_Spoofing.py,advanced,GPS Spoofing,CWE-345,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/04_TPMS_Signal_Spoofing.py,advanced,TPMS Signal Spoofing,CWE-345,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/05_V2X_BSM_Injection.py,advanced,V2X BSM Injection,CWE-345,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/06_FW_Update_TOCTOU.py,advanced,FW Update TOCTOU,CWE-367,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/07_QNX_Unsigned_Firmware.py,advanced,QNX Unsigned Firmware,CWE-347,rf,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/08_USB_Unsigned_Update.py,advanced,USB Unsigned Update,CWE-347,rf,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/09_File_ACL_Permission_Audit.py,advanced,检测已连接的 Android 设备上若干敏感文件或接口的权限问题...,CWE-732,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/10_SELinux_Policy_Audit.py,advanced,检测设备是否启用安全SELinux状态...,CWE-284,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/advanced/11_Stack_Canary_Hardening_Audit.py,advanced,检测已连接设备是否启用栈保护机制...,CWE-693,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/12_ASLR_Address_Space_Audit.py,advanced,检测设备是否启用了地址空间布局随机化（ASLR）...,CWE-693,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/13_Android_Zygote_Command_Injection_Audit.py,advanced,检测设备是否存在Zygote进程命令注入漏洞（CVE-2024-31317）...,CVE-2024-31317,local,PAYLOAD_NOT_EXECUTED,True,False,False,True,False,"execution_path,observable_result"
pocs/advanced/14_SELinux_Runtime_Enforcement_Audit.py,advanced,检测SELinux宽容设备是否存在敏感数据泄露风险...,CWE-284,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/advanced/15_System_Directory_Protection_Audit.py,advanced,检测设备dm_verity系统分区完整性验证是否开启...,CWE-353,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/advanced/16_ProcFS_Hidepid_Audit.py,advanced,检测设备是否存在procfs进程信息泄露漏洞...,CWE-200,local,STATIC_OR_METADATA,False,False,True,True,False,"attack_input,execution_path"
pocs/advanced/17_QNX_Kernel_Null_Deref_DoS_Audit.py,advanced,CVE-2025-8090 空指针引用/DoS Active Validation,CVE-2025-8090,local,EXP_READY,True,True,True,True,False,
pocs/advanced/18_QNX_PCX_Codec_OOB_Write_RCE_DoS_Audit.py,advanced,CVE-2025-2474 越界写/RCE或DoS Active Validation,CVE-2025-2474,local,EXP_READY,True,True,True,True,False,
pocs/advanced/19_QNX_SGI_Codec_Input_Validation_RCE_DoS_Audit.py,advanced,CVE-2024-35213 输入校验/RCE或DoS Active Validation,CVE-2024-35213,local,EXP_READY,True,True,True,True,False,
pocs/advanced/20_QNX_Network_Stack_Null_Deref_DoS_Audit.py,advanced,CVE-2024-35215 空指针/DoS Active Validation,CVE-2024-35215,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/21_QNX_TIFF_Codec_OOB_Read_Info_Leak_Audit.py,advanced,CVE-2024-48855 越界读/信息泄露 Active Validation,CVE-2024-48855,local,EXP_READY,True,True,True,True,False,
pocs/advanced/22_QNX_PCX_Codec_OOB_Write_RCE_DoS_Audit.py,advanced,CVE-2024-48856 越界写/RCE或DoS Active Validation,CVE-2024-48856,local,EXP_READY,True,True,True,True,False,
pocs/advanced/23_QNX_PCX_Codec_Null_Deref_DoS_Audit.py,advanced,CVE-2024-48857 空指针/DoS Active Validation,CVE-2024-48857,local,EXP_READY,True,True,True,True,False,
pocs/advanced/24_QNX_PCX_Codec_Input_Validation_DoS_Audit.py,advanced,CVE-2024-48858 输入校验/DoS Active Validation,CVE-2024-48858,local,EXP_READY,True,True,True,True,False,
pocs/advanced/25_QNX_Calloc_Integer_Overflow_RCE_DoS_Audit.py,advanced,CVE-2021-22156 整数溢出/RCE或DoS Active Validation,CVE-2021-22156,local,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/advanced/26_QNX_Kernel_Privilege_Escalation_Audit.py,advanced,CVE-2021-32025 权限提升 Active Validation,CVE-2021-32025,local,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/advanced/28_QNX_GOT_PLT_Memory_Protection_Bypass_Audit.py,advanced,CVE-2017-3893 内存保护绕过 Active Validation,CVE-2017-3893,local,PAYLOAD_NOT_EXECUTED,True,False,False,False,False,"execution_path,observable_result,safety_gate"
pocs/advanced/29_XZ_LibLZMA_Supply_Chain_Backdoor_Audit.py,advanced,CVE-2024-3094 供应链后门 Active Validation,CVE-2024-3094,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/30_Glibc_Iconv_Buffer_Overflow_Audit.py,advanced,CVE-2024-2961 缓冲区溢出 Active Validation,CVE-2024-2961,local,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/advanced/36_Nissan_Bosch_IVI_Module_Signature_Verification_Audit.py,advanced,CVE-2025-32060 签名校验缺失 Active Validation,CVE-2025-32060,local,STATIC_OR_METADATA,False,False,False,False,False,"attack_input,execution_path,observable_result,safety_gate"
pocs/advanced/37_Linux_Kernel_Copy_Fail_LPE_Audit.py,advanced,Linux Kernel Copy Fail LPE Audit,CVE-2026-31431,local,STATIC_OR_METADATA,False,False,False,True,False,"attack_input,execution_path,observable_result"
pocs/application/01_AirPlay_AirBorne_UAF.py,application,AirPlay AirBorne UAF,CVE-2025-24252,unknown,EXP_READY,True,True,True,True,False,
pocs/application/02_IVI_USB_SQLi.py,application,IVI USB SQLi,CVE-2024-8355,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/03_CarPlay_Stack_Overflow.py,application,CarPlay Stack Overflow,"CVE-2024-23923,CVE-2025-8474",unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/04_HiQnet_Stack_Overflow_TCP.py,application,HiQnet Stack Overflow TCP,CVE-2021-23906,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/05_HiQnet_Heap_Overflow_UDP.py,application,HiQnet Heap Overflow UDP,CVE-2021-23906,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/06_WebView_File_Exfil.py,application,WebView File Exfil,CWE-200,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/application/07_Filename_Command_Injection.py,application,Filename Command Injection,CWE-78,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/08_USB_Path_Injection.py,application,USB Path Injection,CWE-22,unknown,PAYLOAD_NOT_EXECUTED,True,False,True,False,False,"execution_path,safety_gate"
pocs/application/09_IVI_DevMode_Bypass.py,application,IVI DevMode Bypass,CVE-2025-32063,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
pocs/application/10_Wireless_Dongle_Auth_Bypass.py,application,Wireless Dongle Auth Bypass,CVE-2025-2765,unknown,STATIC_OR_METADATA,False,False,True,False,False,"attack_input,execution_path,safety_gate"
